paper_id,paper_name,authors,paper_type,presentation_mode,
128,Language-Agnostic Latent Injection for Multilingual Hybrid Reasoning,"Đặng Phương Nam, Nguyen Van Hieu, Nguyen Nam Truong, Phan Duy Hung",long,Accept (Poster),
174,Reasoning Gets Harder for LLMs Inside A Dialogue,"Ivan Kartáč, Mateusz Lango, Ondrej Dusek",non-archival,Accept (Poster),
62,From Sounds to Symbols: A Survey of Phonetically and Phonologically Informed Language Generation,"Tyler Loakman, Joseph James, Chenghua Lin",long,Accept (Poster),
37,Sleight of Word Benchmark: Can Language Models Notice If Their Own Output Was Tampered With?,Alberto Cetoli,short,Accept (Poster),
134,Towards Plug-and-Play Attribute Control Modules in Text Generation: An Exploratory Study of LoRA Portability Across Model Families,"Michela Lorandi, Anya Belz",long,Accept (Poster),
144,ACA-Bot: Evaluating Pedagogical Dialogue Generation in a Spoken LLM-Based Oral Examiner,"Julie Bauer, Krist Shingjergji, Aki Härmä",long,Accept (Poster),
107,Pop Quiz! Comparing Educational Assessment Methods for Evaluating Context Utilization vs. Pre-Trained Knowledge in Large Language Models,"Anura Deshpande, Suvaditya Mukherjee, Benjamin Nye, Ella Park, Russell Harral",long,Accept (Poster),
160,Comparing Retrieval-Augmented Generation Pipelines for Energy-Aware Code Refactoring,"Youssef Oubelmouh, Pierre CHHIENG, Daoudi Amir Salah Eddine",long,Accept (Poster),
111,"NexusEngine: Ontology-Constrained, Provenance-Grounded, Multi-Modal Generation for Infrastructure Digital Twins","Kanimozhi Uma, Merijn Vanalderweireldt",long,Accept (Poster),
120,From Metrics to Meaning: Learning Qualitative Research Methods as a Community,"Adarsa Sivaprasad, Yujun Wang, Mengxuan Sun, David M Howcroft, Ehud Reiter",short,Accept (Poster),
19,ViInfoSum: A Novel Dataset for Multimodal Summarization in Vietnamese,"Nguyen Khoi Tran, Binh Xuan Le, Nghia Hieu Nguyen, Khiem Vinh Tran, Ngan Luu-Thuy Nguyen",long,Accept (Poster),
25,Augmenting Lecture Information via Redundancy-Filtered LLM Slide Descriptions for Blind and Low-Vision Students,"Katharina Anderer, Jan Niehues, Karin Müller, Matthias Wölfel",long,Accept (Poster),
182,Preliminary results on predicting bootstrapping NLG resources for low-resourced languages,"Phuthang Makhupane, Leruo Hillary Sharp, Zola Mahlaza, C. Maria Keet",non-archival,Accept (Poster),
168,VISTA: Verification In Sequential Turn-based Assessment,Ashley Lewis,non-archival,Accept (Poster),
ARR-16,Strategies for Span Labeling with Large Language Models,"Danil Semin, Ondrej Dusek, Zdeněk Kasner",long,Accept (Poster),
105,Perspective-Diverse Utterance Candidate Generation via Input Variation for Race Game Commentary,"Mizuki Arai, Tatsuya Ishigaki, Yusuke Miyao, Hiroya Takamura, Ichiro Kobayashi",long,Accept (Poster),
8,Chain-of-Thought Depth Modulates Performance by Task and Model: Evidence from Ablation Studies Across Five Model Families,N.ANEESH.DUTT,long,Accept (Poster),
180,Ontology-Mediated Framework for Generating Answerable Questions and Feedback from Ontologies,"Toky Hajatiana Raboanary, C. Maria Keet",non-archival,Accept (Poster),
80,A Tool for Collecting Validated Triple Sets for Data-to-Text Generation,"Mark Andrade, Simon Mille, Anya Belz, Brian Davis",demo,Accept (Poster),demo
